DEPT,Depth Index
ABFR,Array Induction Quality Control Borehole Formation Ratio
ABS,Area of Bit
ADES,Array Induction Diagnostic Executive Summary
AE10,Array Induction Resistivity Environmentally Compensated Log Processing AE10
AE20,Array Induction Resistivity Environmentally Compensated Log Processing AE20
AE30,Array Induction Resistivity Environmentally Compensated Log Processing AE30
AE60,Array Induction Resistivity Environmentally Compensated Log Processing AE60
AE90,Array Induction Resistivity Environmentally Compensated Log Processing AE90
AECEF,Array Induction End Of Casing Effect Flag
AECF,Array Induction Environmentally Compensated Log Processing Chart Flag
AECO10,Array Induction Conductivity Environmentally Compensated Log Processing AE10
AECO20,Array Induction Conductivity Environmentally Compensated Log Processing AE20
AECO30,Array Induction Conductivity Environmentally Compensated Log Processing AE30
AECO60,Array Induction Conductivity Environmentally Compensated Log Processing AE60
AECO90,Array Induction Conductivity Environmentally Compensated Log Processing AE90
AEHF,Array Induction Environmentally Compensated Log Processing Hole Flag
AEMF,Array Induction Environmentally Compensated Log Processing Magnetic Mud Flag
AERS,Array Induction Environmentally Compensated Log Processing Resolution Flag
AF10,Array Induction Four Foot Resistivity A10
AF20,Array Induction Four Foot Resistivity A20
AF30,Array Induction Four Foot Resistivity A30
AF60,Array Induction Four Foot Resistivity A60
AF90,Array Induction Four Foot Resistivity A90
AFCD,Area of Future Casing
AFCO10,Array Induction Four Foot Conductivity A10
AFCO20,Array Induction Four Foot Conductivity A20
AFCO30,Array Induction Four Foot Conductivity A30
AFCO60,Array Induction Four Foot Conductivity A60
AFCO90,Array Induction Four Foot Conductivity A90
AIBC,Array Induction Borehole Corrected
AIFC,Array Induction Fully Calibrated
AO10,Array Induction One Foot Resistivity A10
AO20,Array Induction One Foot Resistivity A20
AO30,Array Induction One Foot Resistivity A30
AO60,Array Induction One Foot Resistivity A60
AO90,Array Induction One Foot Resistivity A90
AOCO10,Array Induction One Foot Conductivity A10
AOCO20,Array Induction One Foot Conductivity A20
AOCO30,Array Induction One Foot Conductivity A30
AOCO60,Array Induction One Foot Conductivity A60
AOCO90,Array Induction One Foot Conductivity A90
AQABN,Array Induction Quality Control Borehole Corrected Non-Filtered Array Signal
AREA,Area of Borehole
ASCA,Array Induction SPA Calibrated
AT10,Array Induction Two Foot Resistivity A10
AT20,Array Induction Two Foot Resistivity A20
AT30,Array Induction Two Foot Resistivity A30
AT60,Array Induction Two Foot Resistivity A60
AT90,Array Induction Two Foot Resistivity A90
ATCA,Array Induction Array Temperature Calibrated
ATCO10,Array Induction Two Foot Conductivity A10
ATCO20,Array Induction Two Foot Conductivity A20
ATCO30,Array Induction Two Foot Conductivity A30
ATCO60,Array Induction Two Foot Conductivity A60
ATCO90,Array Induction Two Foot Conductivity A90
ATD1,Array Induction Two Foot Inner Diameter of Invasion(D1)
ATD2,Array Induction Two Foot Outer Diameter of Invasion (D2)
ATOO,Array Induction Two Foot Curves Out of Order Flag
ATPR,Array Induction Two Foot Radial Resistivity Profile
ATRT,Array Induction Two Foot Rt
ATRX,Array Induction Two Foot Rxo
ATVM,Array Induction Two Foot Volume Mud Filtrate
BS,Bit Size
CDF,Calibrated Downhole Force
CHAM,Circle Hole Angle Maximum
CHR1,Label Peak Coherence Receiver Array - Lower Dipole
CHR2,Label Peak Coherence Receiver Array - Upper Dipole
CHRP,Label Peak Coherence Receiver Array Compressional - Monopole P&S
CHRS,Label Peak Coherence Receiver Array Shear - Monopole P&S
CHSC,Circle Hole Shape Condition
CHTP,Label Peak Coherence Transmitter Array Compressional - Monopole P&S
CHTS,Cable head tension
CRMI,Circle Hole Radius Minimum
CS,CABLE SPEED
CVEL,Cable Velocity
DCAL,DIFFERENTIAL CALIPER
DCI1,Data Copy Indicator - Lower Dipole
DCI2,Data Copy Indicator - Upper Dipole
